			Passing									Deep Passes		Big Games			
Name	Team	G	COMP	ATT	PCT	ATT/G	YDS	YPA	YDS/G	TD	INT	20+	40+	300+	350+	400+	RATE
Ben Roethlisberger	PIT	16	452	675	67.0	42.2	5129	7.60	320.6	34	16	61	16	8	5	2	96.5
Patrick Mahomes	KC	16	383	580	66.0	36.3	5097	8.79	318.6	50	12	75	15	10	5	1	113.8
Matt Ryan	ATL	16	422	608	69.4	38.0	4924	8.10	307.8	35	7	56	9	8	7	1	108.1
Andrew Luck	IND	16	430	639	67.3	39.9	4593	7.19	287.1	39	15	53	7	7	4	1	98.7
Aaron Rodgers	GB	16	372	597	62.3	37.3	4442	7.44	277.6	25	2	55	16	4	3	3	97.6
Tom Brady	NE	16	375	570	65.8	35.6	4355	7.64	272.2	29	11	53	8	5	1	0	97.7
Philip Rivers	LAC	16	347	508	68.3	31.8	4308	8.48	269.3	32	12	60	10	5	2	2	105.5
Eli Manning	NYG	16	380	576	66.0	36.0	4299	7.46	268.7	21	11	57	10	5	1	0	92.4
Kirk Cousins	MIN	16	425	606	70.1	37.9	4298	7.09	268.6	30	10	47	7	5	3	2	99.7
Deshaun Watson	HOU	16	345	505	68.3	31.6	4165	8.25	260.3	26	9	51	8	5	3	0	103.1
