Teams,2001rank,2002 rank,2003 rank,2004 rank,2005 rank,2006 rank,2007 rank,2008 rank,2009 rank,2010 rank,2011 rank,2012 rank,2013 arnk,2014 rank,2015 rank,2016 rank,2017 rank,2018 rank
Atlantic Hawks,25,23,23,25,30,27,27,19,11,6,12,8,14,19,2,7,12,27
Boston Celtics,20,8,13,20,11,24,29,1,3,9,6,10,16,26,15,7,4,4
Denver Nuggets,19,27,29,12,9,11,11,10,5,6,9,11,4,21,23,22,19,13
Dallas Mavericks,5,4,1,7,4,3,1,9,9,4,4,13,17,10,9,14,22,27
Chicago Bulls,29,29,24,28,10,14,9,22,14,18,1,1,11,11,9,14,16,24
Cleveland Cavaliers,23,25,29,21,17,6,8,13,1,1,29,28,28,22,7,3,5,6
Charlotte Hornets,17,8,12,11,29,27,21,23,19,16,21,30,29,17,21,7,21,20
Brooklyn Nets,24,5,8,9,17,7,15,21,20,30,25,25,9,15,17,28,30,23
Detroit Pistion,21,6,5,6,5,1,5,2,16,24,23,22,24,23,22,12,20,18
Golden state Warriors,28,29,20,18,22,22,13,12,24,26,19,23,10,8,1,1,1,3
Houston Rockets,14,26,15,10,7,22,6,5,8,17,13,17,11,5,3,17,3,1
Indiana Pacers,18,16,9,1,14,14,19,20,18,21,18,5,8,4,17,11,14,8
Los Angeles Clippers,22,19,26,25,20,9,17,25,28,22,22,8,5,3,3,6,5,17
Los Angeles Lakers,2,2,5,4,22,10,13,3,2,3,4,6,11,25,27,29,28,21
Memphis Grizzlies,26,28,25,8,11,7,30,27,25,19,11,6,5,9,5,14,12,29
Miami Heat,9,21,27,13,2,5,12,30,13,13,3,4,1,5,20,7,16,14
Milwaukee Bucks,7,18,16,15,26,17,28,24,20,14,20,19,18,30,14,22,14,14
Minnesota Timberwolves,12,6,4,2,14,24,24,27,25,29,30,21,23,18,30,26,24,11
New Orleans Pelicans,30,11,18,30,19,18,4,11,17,14,24,27,19,14,23,21,10,19
New York Knicks,11,24,21,17,24,29,21,25,23,22,14,13,7,20,29,25,24,22
Oklahoma City Thunders,15,12,19,18,6,21,26,29,27,9,7,3,2,2,13,5,11,8
Orlando Magic,16,13,16,29,21,20,17,8,4,2,8,12,30,28,26,20,26,26
Philadelphia 76ers,2,15,9,22,16,19,19,17,14,24,15,16,19,29,28,30,27,5
Phoenix Suns,8,21,13,24,1,4,2,5,12,5,16,18,27,11,16,27,29,30
Portland Trail Blazers,9,8,5,15,27,30,24,15,5,9,10,20,22,5,8,12,16,7
Sacramento Kings,4,1,3,5,8,11,21,18,30,28,25,25,26,24,25,22,23,24
San Antonio Spurs,1,2,1,3,2,2,3,4,5,9,2,1,3,1,5,2,2,11
Toronto Rapters,12,16,28,22,24,26,10,15,22,19,28,23,19,11,11,4,5,2
Utah Jazz,5,13,11,13,28,14,7,7,10,6,17,13,15,26,17,19,5,8
Washington Wizards,27,20,21,27,11,13,15,14,28,26,27,29,24,15,12,17,9,16
