Teams,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Atlantic Hawks,0.305,0.402,0.427,0.341,0.159,0.317,0.366,0.451,0.573,0.646,0.537,0.606,0.537,0.463,0.732,0.585,0.524,0.293
Boston Celtics,0.439,0.598,0.537,0.439,0.549,0.402,0.293,0.805,0.756,0.61,0.683,0.591,0.506,0.305,0.488,0.585,0.646,0.671
Denver Nuggets,0.488,0.329,0.207,0.524,0.598,0.537,0.549,0.61,0.659,0.646,0.61,0.576,0.695,0.439,0.366,0.402,0.488,0.561
Dallas Mavericks,0.646,0.695,0.732,0.634,0.707,0.732,0.817,0.622,0.61,0.671,0.695,0.545,0.5,0.598,0.61,0.512,0.402,0.293
Chicago Bulls,0.183,0.256,0.366,0.28,0.573,0.5,0.598,0.402,0.5,0.5,0.756,0.758,0.549,0.585,0.61,0.512,0.5,0.329
Cleveland Cavaliers,0.366,0.354,0.207,0.427,0.512,0.61,0.61,0.549,0.805,0.744,0.232,0.318,0.293,0.402,0.646,0.695,0.622,0.61
Charlotte Hornets,0.52,0.598,0.561,0.537,0.22,0.317,0.402,0.39,0.427,0.537,0.415,0.106,0.256,0.524,0.402,0.585,0.439,0.439
Brooklyn Nets,0.317,0.634,0.598,0.573,0.512,0.598,0.5,0.415,0.415,0.146,0.293,0.333,0.598,0.537,0.463,0.256,0.244,0.341
Detroit Pistion,0.39,0.61,0.61,0.659,0.659,0.78,0.646,0.72,0.476,0.329,0.366,0.379,0.354,0.354,0.39,0.537,0.451,0.476
Golden state Warriors,0.207,0.256,0.463,0.451,0.415,0.415,0.512,0.585,0.354,0.317,0.439,0.348,0.573,0.622,0.817,0.89,0.817,0.707
Houston Rockets,0.549,0.341,0.524,0.549,0.622,0.415,0.634,0.671,0.646,0.512,0.524,0.515,0.549,0.659,0.683,0.5,0.671,0.793
Indiana Pacers,0.5,0.512,0.585,0.744,0.537,0.5,0.427,0.439,0.439,0.39,0.451,0.636,0.605,0.683,0.463,0.549,0.512,0.585
Los Angeles Clippers,0.378,0.476,0.329,0.341,0.451,0.573,0.488,0.28,0.232,0.354,0.39,0.606,0.683,0.695,0.683,0.646,0.622,0.512
Los Angeles Lakers,0.683,0.707,0.61,0.683,0.415,0.549,0.512,0.695,0.793,0.695,0.695,0.621,0.549,0.329,0.256,0.207,0.317,0.427
Memphis Grizzlies,0.28,0.28,0.341,0.61,0.549,0.598,0.268,0.268,0.293,0.488,0.561,0.621,0.683,0.61,0.671,0.512,0.524,0.268
Miami Heat,0.61,0.439,0.305,0.512,0.72,0.634,0.537,0.183,0.524,0.573,0.707,0.697,0.805,0.659,0.451,0.585,0.5,0.537
Milwaukee Bucks,0.634,0.5,0.512,0.5,0.366,0.488,0.341,0.317,0.415,0.561,0.427,0.47,0.463,0.183,0.5,0.402,0.512,0.537
Minnesota Timberwolves,0.573,0.61,0.622,0.707,0.537,0.402,0.39,0.268,0.293,0.183,0.207,0.394,0.378,0.488,0.195,0.354,0.378,0.573
New Orleans Pelicans,0.5,0.573,0.5,0.22,0.463,0.476,0.683,0.598,0.451,0.561,0.318,0.329,0.415,0.549,0.366,0.415,0.585,0.463
New York Knicks,0.585,0.366,0.451,0.476,0.402,0.28,0.402,0.28,0.39,0.354,0.512,0.545,0.659,0.451,0.207,0.39,0.378,0.354
Oklahoma City Thunders,0.537,0.549,0.488,0.451,0.634,0.427,0.378,0.244,0.28,0.61,0.671,0.712,0.732,0.72,0.549,0.671,0.573,0.585
Orlando Magic,0.524,0.537,0.512,0.256,0.439,0.439,0.488,0.634,0.72,0.72,0.634,0.561,0.244,0.28,0.305,0.427,0.354,0.305
Philadelphia 76ers,0.683,0.524,0.585,0.402,0.524,0.463,0.427,0.488,0.5,0.329,0.5,0.53,0.415,0.232,0.22,0.122,0.341,0.634
Phoenix Suns,0.622,0.439,0.537,0.354,0.756,0.659,0.744,0.671,0.561,0.659,0.488,0.5,0.305,0.585,0.476,0.28,0.293,0.256
Portland Trail Blazers,0.61,0.598,0.61,0.5,0.329,0.256,0.39,0.5,0.659,0.61,0.585,0.424,0.402,0.659,0.622,0.537,0.5,0.598
Sacramento Kings,0.671,0.744,0.72,0.671,0.61,0.537,0.402,0.463,0.207,0.305,0.293,0.333,0.341,0.341,0.354,0.402,0.39,0.329
San Antonio Spurs,0.707,0.707,0.732,0.695,0.72,0.768,0.707,0.683,0.659,0.61,0.744,0.758,0.707,0.756,0.671,0.817,0.744,0.573
Toronto Rapters,0.573,0.512,0.293,0.402,0.402,0.329,0.573,0.5,0.402,0.488,0.268,0.348,0.415,0.585,0.598,0.683,0.622,0.72
Utah Jazz,0.646,0.537,0.573,0.512,0.317,0.5,0.622,0.659,0.585,0.646,0.476,0.545,0.524,0.305,0.463,0.488,0.622,0.585
Washington Wizards,0.232,0.451,0.451,0.305,0.549,0.512,0.5,0.524,0.232,0.317,0.28,0.303,0.354,0.537,0.561,0.5,0.598,0.524
