Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Arizona Coyotes,82,29,41,,12,70,0.427,-0.53,0.05,8th,R. Tocchet (29-41-12)
2016-17,NHL,Arizona Coyotes,82,30,42,,10,70,0.427,-0.76,0.01,6th,D. Tippett (30-42-10)
2015-16,NHL,Arizona Coyotes,82,35,39,,8,78,0.476,-0.43,0.01,4th,D. Tippett (35-39-8)
2014-15,NHL,Arizona Coyotes,82,24,50,,8,56,0.341,-1.2,0.04,7th,D. Tippett (24-50-8)
2013-14,NHL,Phoenix Coyotes,82,37,30,,15,89,0.543,-0.16,0.03,4th,D. Tippett (37-30-15)
2012-13,NHL,Phoenix Coyotes,48,21,18,,9,51,0.531,-0.1,0.03,4th,D. Tippett (21-18-9)
2011-12,NHL,Phoenix Coyotes*,82,42,27,,13,97,0.591,0.16,0.01,1st,D. Tippett (42-27-13)
2010-11,NHL,Phoenix Coyotes*,82,43,26,,13,99,0.604,0.11,0.05,2nd,D. Tippett (43-26-13)
2009-10,NHL,Phoenix Coyotes*,82,50,25,,7,107,0.652,0.34,0.06,2nd,D. Tippett (50-25-7)
2008-09,NHL,Phoenix Coyotes,82,36,39,,7,79,0.482,-0.5,0.04,4th,W. Gretzky (36-39-7)
2007-08,NHL,Phoenix Coyotes,82,38,37,,7,83,0.506,-0.04,0.17,4th,W. Gretzky (38-37-7)
2006-07,NHL,Phoenix Coyotes,82,31,46,,5,67,0.409,-0.64,0.19,5th,W. Gretzky (31-46-5)
2005-06,NHL,Phoenix Coyotes,82,38,39,,5,81,0.494,-0.19,0.12,5th,W. Gretzky (38-39-5)
2003-04,NHL,Phoenix Coyotes,82,22,36,18,6,68,0.415,-0.66,0.04,5th,"B. Francis (20-24-15-3), R. Bowness (2-12-3-3)"
2002-03,NHL,Phoenix Coyotes,82,31,35,11,5,78,0.476,-0.23,0.08,4th,B. Francis (31-35-11-5)
2001-02,NHL,Phoenix Coyotes*,82,40,27,9,6,95,0.579,0.29,0.07,2nd,B. Francis (40-27-9-6)
2000-01,NHL,Phoenix Coyotes,82,35,27,17,3,90,0.549,0.07,0.05,4th,B. Francis (35-27-17-3)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
