Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Buffalo Sabres,82,25,45,,12,62,0.378,-0.98,0.01,8th,P. Housley (25-45-12)
2016-17,NHL,Buffalo Sabres,82,33,37,,12,78,0.476,-0.41,0.03,8th,D. Bylsma (33-37-12)
2015-16,NHL,Buffalo Sabres,82,35,36,,11,81,0.494,-0.25,0.01,7th,D. Bylsma (35-36-11)
2014-15,NHL,Buffalo Sabres,82,23,51,,8,54,0.329,-1.33,0.05,8th,T. Nolan (23-51-8)
2013-14,NHL,Buffalo Sabres,82,21,51,,10,52,0.317,-1.09,0.02,8th,"T. Nolan (17-36-9), R. Rolston (4-15-1)"
2012-13,NHL,Buffalo Sabres,48,21,21,,6,48,0.5,-0.31,0.07,5th,"R. Rolston (15-11-5), L. Ruff (6-10-1)"
2011-12,NHL,Buffalo Sabres,82,39,32,,11,89,0.543,-0.15,0,3rd,L. Ruff (39-32-11)
2010-11,NHL,Buffalo Sabres*,82,43,29,,10,96,0.585,0.15,-0.04,2nd,L. Ruff (43-29-10)
2009-10,NHL,Buffalo Sabres*,82,45,27,,10,100,0.61,0.26,-0.08,1st,L. Ruff (45-27-10)
2008-09,NHL,Buffalo Sabres,82,41,32,,9,91,0.555,0.18,-0.02,3rd,L. Ruff (41-32-9)
2007-08,NHL,Buffalo Sabres,82,39,31,,12,90,0.549,0.05,-0.11,4th,L. Ruff (39-31-12)
2006-07,NHL,Buffalo Sabres*,82,53,22,,7,113,0.689,0.64,-0.16,1st,L. Ruff (53-22-7)
2005-06,NHL,Buffalo Sabres*,82,52,24,,6,110,0.671,0.5,-0.01,2nd,L. Ruff (52-24-6)
2003-04,NHL,Buffalo Sabres,82,37,34,7,4,85,0.518,0.02,0.04,5th,L. Ruff (37-34-7-4)
2002-03,NHL,Buffalo Sabres,82,27,37,10,8,72,0.439,-0.4,-0.05,5th,L. Ruff (27-37-10-8)
2001-02,NHL,Buffalo Sabres,82,35,35,11,1,82,0.5,0.09,-0.07,5th,L. Ruff (35-35-11-1)
2000-01,NHL,Buffalo Sabres*,82,46,30,5,1,98,0.598,0.35,-0.07,2nd,L. Ruff (46-30-5-1)
