Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Dallas Stars,82,42,32,,8,92,0.561,0.17,0.04,6th,"K. Hitchcock (42-32-8), J. Montgomery (0-0-0)"
2016-17,NHL,Dallas Stars,82,34,37,,11,79,0.482,-0.48,-0.01,6th,L. Ruff (34-37-11)
2015-16,NHL,Dallas Stars*,82,50,23,,9,109,0.665,0.45,-0.01,1st,L. Ruff (50-23-9)
2014-15,NHL,Dallas Stars,82,41,31,,10,92,0.561,0.06,0.05,6th,L. Ruff (41-31-10)
2013-14,NHL,Dallas Stars*,82,40,31,,11,91,0.555,0.14,0.05,5th,L. Ruff (40-31-11)
2012-13,NHL,Dallas Stars,48,22,22,,4,48,0.5,-0.21,0.05,5th,G. Gulutzan (22-22-4)
2011-12,NHL,Dallas Stars,82,42,35,,5,89,0.543,-0.1,0.03,4th,G. Gulutzan (42-35-5)
2010-11,NHL,Dallas Stars,82,42,29,,11,95,0.579,-0.02,0.05,5th,M. Crawford (42-29-11)
2009-10,NHL,Dallas Stars,82,37,31,,14,88,0.537,-0.12,0.09,5th,M. Crawford (37-31-14)
2008-09,NHL,Dallas Stars,82,36,35,,11,83,0.506,-0.3,0.03,3rd,D. Tippett (36-35-11)
2007-08,NHL,Dallas Stars*,82,45,30,,7,97,0.591,0.54,0.11,3rd,D. Tippett (45-30-7)
2006-07,NHL,Dallas Stars*,82,50,25,,7,107,0.652,0.44,0.08,3rd,D. Tippett (50-25-7)
2005-06,NHL,Dallas Stars*,82,53,23,,6,112,0.683,0.61,0.04,1st,D. Tippett (53-23-6)
2003-04,NHL,Dallas Stars*,82,41,26,13,2,97,0.591,0.22,-0.01,2nd,D. Tippett (41-26-13-2)
2002-03,NHL,Dallas Stars*,82,46,17,15,4,111,0.677,0.94,0.01,1st,D. Tippett (46-17-15-4)
2001-02,NHL,Dallas Stars,82,36,28,13,5,90,0.549,0.09,0.07,4th,"K. Hitchcock (23-17-6-4), R. Wilson (13-11-7-1)"
2000-01,NHL,Dallas Stars*,82,48,24,8,2,106,0.646,0.68,0.02,1st,K. Hitchcock (48-24-8-2)
