Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,New York Rangers,82,34,39,,9,77,0.47,-0.46,-0.01,8th,A. Vigneault (34-39-9)
2016-17,NHL,New York Rangers*,82,48,28,,6,102,0.622,0.47,0.03,4th,A. Vigneault (48-28-6)
2015-16,NHL,New York Rangers*,82,46,27,,9,101,0.616,0.24,0.01,3rd,A. Vigneault (46-27-9)
2014-15,NHL,New York Rangers*,82,53,22,,7,113,0.689,0.69,-0.04,1st,A. Vigneault (53-22-7)
2013-14,NHL,New York Rangers*,82,45,31,,6,96,0.585,0.26,-0.04,2nd,A. Vigneault (45-31-6)
2012-13,NHL,New York Rangers*,48,26,18,,4,56,0.583,0.38,0,2nd,J. Tortorella (26-18-4)
2011-12,NHL,New York Rangers*,82,51,24,,7,109,0.665,0.46,-0.02,1st,J. Tortorella (51-24-7)
2010-11,NHL,New York Rangers*,82,44,33,,5,93,0.567,0.37,-0.06,3rd,J. Tortorella (44-33-5)
2009-10,NHL,New York Rangers,82,38,33,,11,87,0.53,0,-0.05,4th,J. Tortorella (38-33-11)
2008-09,NHL,New York Rangers*,82,43,30,,9,95,0.579,-0.1,-0.01,4th,"T. Renney (31-23-7), J. Tortorella (12-7-2)"
2007-08,NHL,New York Rangers*,82,42,27,,13,97,0.591,0.05,-0.12,3rd,T. Renney (42-27-13)
2006-07,NHL,New York Rangers*,82,42,30,,10,94,0.573,0.16,-0.16,3rd,T. Renney (42-30-10)
2005-06,NHL,New York Rangers*,82,44,26,,12,100,0.61,0.38,-0.14,3rd,T. Renney (44-26-12)
2003-04,NHL,New York Rangers,82,27,40,7,8,69,0.421,-0.51,0.03,4th,"G. Sather (22-29-7-4), T. Renney (5-11-0-4)"
2002-03,NHL,New York Rangers,82,32,36,10,4,78,0.476,-0.33,-0.08,4th,"B. Trottier (21-26-6-1), G. Sather (11-10-4-3)"
2001-02,NHL,New York Rangers,82,36,38,4,4,80,0.488,-0.43,-0.05,4th,R. Low (36-38-4-4)
2000-01,NHL,New York Rangers,82,33,43,5,1,72,0.439,-0.53,-0.04,4th,R. Low (33-43-5-1)
