Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Ottawa Senators,82,28,43,,11,67,0.409,-0.85,0,7th,G. Boucher (28-43-11)
2016-17,NHL,Ottawa Senators*,82,44,28,,10,98,0.598,-0.01,0.01,2nd,G. Boucher (44-28-10)
2015-16,NHL,Ottawa Senators,82,38,35,,9,85,0.518,-0.13,0.01,5th,D. Cameron (38-35-9)
2014-15,NHL,Ottawa Senators*,82,43,26,,13,99,0.604,0.25,-0.04,4th,"P. MacLean (11-11-5), D. Cameron (32-15-8)"
2013-14,NHL,Ottawa Senators,82,37,31,,14,88,0.537,-0.37,-0.02,5th,P. MacLean (37-31-14)
2012-13,NHL,Ottawa Senators*,48,25,17,,6,56,0.583,0.27,0.02,4th,P. MacLean (25-17-6)
2011-12,NHL,Ottawa Senators*,82,41,31,,10,92,0.561,0.09,-0.02,2nd,P. MacLean (41-31-10)
2010-11,NHL,Ottawa Senators,82,32,40,,10,74,0.451,-0.69,0.02,5th,C. Clouston (32-40-10)
2009-10,NHL,Ottawa Senators*,82,44,32,,6,94,0.573,-0.22,-0.06,2nd,C. Clouston (44-32-6)
2008-09,NHL,Ottawa Senators,82,36,35,,11,83,0.506,-0.23,0.01,4th,"C. Hartsburg (17-24-7), C. Clouston (19-11-4)"
2007-08,NHL,Ottawa Senators*,82,43,31,,8,94,0.573,0.06,-0.11,2nd,"J. Paddock (36-22-6), B. Murray (7-9-2)"
2006-07,NHL,Ottawa Senators*,82,48,25,,9,105,0.64,0.64,-0.16,2nd,B. Murray (48-25-9)
2005-06,NHL,Ottawa Senators*,82,52,21,,9,113,0.689,1.18,-0.08,1st,B. Murray (52-21-9)
2003-04,NHL,Ottawa Senators*,82,43,23,10,6,102,0.622,0.88,-0.01,3rd,J. Martin (43-23-10-6)
2002-03,NHL,Ottawa Senators*,82,52,21,8,1,113,0.689,0.88,-0.11,1st,J. Martin (52-21-8-1)
2001-02,NHL,Ottawa Senators*,82,39,27,9,7,94,0.573,0.36,-0.07,3rd,"J. Martin (38-26-9-7), R. Neilson (1-1-0-0)"
2000-01,NHL,Ottawa Senators*,82,48,21,9,4,109,0.665,0.74,-0.1,1st,J. Martin (48-21-9-4)
