Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Philadelphia Flyers*,82,42,26,,14,98,0.598,0.07,-0.03,3rd,D. Hakstol (42-26-14)
2016-17,NHL,Philadelphia Flyers,82,39,33,,10,88,0.537,-0.17,0.04,6th,D. Hakstol (39-33-10)
2015-16,NHL,Philadelphia Flyers*,82,41,27,,14,96,0.585,-0.03,0.02,5th,D. Hakstol (41-27-14)
2014-15,NHL,Philadelphia Flyers,82,33,31,,18,84,0.512,-0.23,0,6th,C. Berube (33-31-18)
2013-14,NHL,Philadelphia Flyers*,82,42,30,,10,94,0.573,-0.01,-0.02,3rd,"C. Berube (42-27-10), P. Laviolette (0-3-0)"
2012-13,NHL,Philadelphia Flyers,48,23,22,,3,49,0.51,-0.14,0.03,4th,P. Laviolette (23-22-3)
2011-12,NHL,Philadelphia Flyers*,82,47,26,,9,103,0.628,0.39,0,3rd,P. Laviolette (47-26-9)
2010-11,NHL,Philadelphia Flyers*,82,47,23,,12,106,0.646,0.4,-0.04,1st,P. Laviolette (47-23-12)
2009-10,NHL,Philadelphia Flyers*,82,41,35,,6,88,0.537,0.08,-0.06,3rd,"J. Stevens (13-11-1), P. Laviolette (28-24-5)"
2008-09,NHL,Philadelphia Flyers*,82,44,27,,11,99,0.604,0.28,-0.04,3rd,J. Stevens (44-27-11)
2007-08,NHL,Philadelphia Flyers*,82,42,29,,11,95,0.579,0.06,-0.12,4th,J. Stevens (42-29-11)
2006-07,NHL,Philadelphia Flyers,82,22,48,,12,56,0.341,-1.12,-0.04,5th,"K. Hitchcock (1-6-1), J. Stevens (21-42-11)"
2005-06,NHL,Philadelphia Flyers*,82,45,26,,11,101,0.616,0,-0.1,2nd,K. Hitchcock (45-26-11)
2003-04,NHL,Philadelphia Flyers*,82,40,21,15,6,101,0.616,0.47,-0.05,1st,K. Hitchcock (40-21-15-6)
2002-03,NHL,Philadelphia Flyers*,82,45,20,13,4,107,0.652,0.43,-0.12,2nd,K. Hitchcock (45-20-13-4)
2001-02,NHL,Philadelphia Flyers*,82,42,27,10,3,97,0.591,0.41,-0.11,1st,B. Barber (42-27-10-3)
2000-01,NHL,Philadelphia Flyers*,82,43,25,11,3,100,0.61,0.33,-0.07,2nd,"C. Ramsay (12-12-4-0), B. Barber (31-13-7-3)"
