Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,San Jose Sharks*,82,45,27,,10,100,0.61,0.28,0,3rd,P. DeBoer (45-27-10)
2016-17,NHL,San Jose Sharks*,82,46,29,,7,99,0.604,0.21,-0.03,3rd,P. DeBoer (46-29-7)
2015-16,NHL,San Jose Sharks*,82,46,30,,6,98,0.598,0.33,-0.05,3rd,P. DeBoer (46-30-6)
2014-15,NHL,San Jose Sharks,82,40,33,,9,89,0.543,-0.08,-0.03,5th,T. McLellan (40-33-9)
2013-14,NHL,San Jose Sharks*,82,51,22,,9,111,0.677,0.6,0,2nd,T. McLellan (51-22-9)
2012-13,NHL,San Jose Sharks*,48,25,16,,7,57,0.594,0.17,0.01,3rd,T. McLellan (25-16-7)
2011-12,NHL,San Jose Sharks*,82,43,29,,10,96,0.585,0.22,0,2nd,T. McLellan (43-29-10)
2010-11,NHL,San Jose Sharks*,82,48,25,,9,105,0.64,0.44,0.02,1st,T. McLellan (48-25-9)
2009-10,NHL,San Jose Sharks*,82,51,20,,11,113,0.689,0.65,0.05,1st,T. McLellan (51-20-11)
2008-09,NHL,San Jose Sharks*,82,53,18,,11,117,0.713,0.61,-0.04,1st,T. McLellan (53-18-11)
2007-08,NHL,San Jose Sharks*,82,49,23,,10,108,0.659,0.47,0.12,1st,R. Wilson (49-23-10)
2006-07,NHL,San Jose Sharks*,82,51,26,,5,107,0.652,0.77,0.05,2nd,R. Wilson (51-26-5)
2005-06,NHL,San Jose Sharks*,82,44,27,,11,99,0.604,0.36,0.06,2nd,R. Wilson (44-27-11)
2003-04,NHL,San Jose Sharks*,82,43,21,12,6,104,0.634,0.4,-0.04,1st,R. Wilson (43-21-12-6)
2002-03,NHL,San Jose Sharks,82,28,37,9,8,73,0.445,-0.21,0.1,5th,"D. Sutter (8-12-2-2), C. Raeder (1-0-0-0), R. Wilson (19-25-7-6)"
2001-02,NHL,San Jose Sharks*,82,44,27,8,3,99,0.604,0.62,0.02,1st,D. Sutter (44-27-8-3)
2000-01,NHL,San Jose Sharks*,82,40,27,12,3,95,0.579,0.36,0.06,2nd,D. Sutter (40-27-12-3)
