Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Toronto Maple Leafs*,82,49,26,,7,105,0.64,0.49,-0.06,3rd,M. Babcock (49-26-7)
2016-17,NHL,Toronto Maple Leafs*,82,40,27,,15,95,0.579,0.11,0,3rd,M. Babcock (40-27-15)
2015-16,NHL,Toronto Maple Leafs,82,29,42,,11,69,0.421,-0.56,0.03,8th,M. Babcock (29-42-11)
2014-15,NHL,Toronto Maple Leafs,82,30,44,,8,68,0.415,-0.61,0.02,7th,"R. Carlyle (21-16-3), P. Horachek (9-28-5)"
2013-14,NHL,Toronto Maple Leafs,82,38,36,,8,84,0.512,-0.34,-0.04,6th,R. Carlyle (38-36-8)
2012-13,NHL,Toronto Maple Leafs*,48,26,17,,5,57,0.594,0.27,0.02,3rd,R. Carlyle (26-17-5)
2011-12,NHL,Toronto Maple Leafs,82,35,37,,10,80,0.488,-0.38,0.02,4th,"R. Wilson (29-28-7), R. Carlyle (6-9-3)"
2010-11,NHL,Toronto Maple Leafs,82,37,34,,11,85,0.518,-0.41,0,4th,R. Wilson (37-34-11)
2009-10,NHL,Toronto Maple Leafs,82,30,38,,14,74,0.451,-0.68,-0.03,5th,R. Wilson (30-38-14)
2008-09,NHL,Toronto Maple Leafs,82,34,35,,13,81,0.494,-0.49,0.03,5th,R. Wilson (34-35-13)
2007-08,NHL,Toronto Maple Leafs,82,36,35,,11,83,0.506,-0.42,-0.06,5th,P. Maurice (36-35-11)
2006-07,NHL,Toronto Maple Leafs,82,40,31,,11,91,0.555,-0.21,-0.08,3rd,P. Maurice (40-31-11)
2005-06,NHL,Toronto Maple Leafs,82,41,33,,8,90,0.549,-0.11,0.05,4th,P. Quinn (41-33-8)
2003-04,NHL,Toronto Maple Leafs*,82,45,24,10,3,103,0.628,0.48,0.02,2nd,P. Quinn (45-24-10-3)
2002-03,NHL,Toronto Maple Leafs*,82,44,28,7,3,98,0.598,0.26,-0.08,2nd,P. Quinn (44-28-7-3)
2001-02,NHL,Toronto Maple Leafs*,82,43,25,10,4,100,0.61,0.44,-0.08,2nd,P. Quinn (43-25-10-4)
2000-01,NHL,Toronto Maple Leafs*,82,37,29,11,5,90,0.549,0.25,-0.05,3rd,P. Quinn (37-29-11-5)
