Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Washington Capitals*,82,49,26,,7,105,0.64,0.21,-0.04,1st,B. Trotz (49-26-7)
2016-17,NHL,Washington Capitals*,82,55,19,,8,118,0.72,0.99,0,1st,B. Trotz (55-19-8)
2015-16,NHL,Washington Capitals*,82,56,18,,8,120,0.732,0.7,-0.02,1st,B. Trotz (56-18-8)
2014-15,NHL,Washington Capitals*,82,45,26,,11,101,0.616,0.44,-0.03,2nd,B. Trotz (45-26-11)
2013-14,NHL,Washington Capitals,82,38,30,,14,90,0.549,-0.08,-0.02,5th,A. Oates (38-30-14)
2012-13,NHL,Washington Capitals*,48,27,18,,3,57,0.594,0.31,-0.09,1st,A. Oates (27-18-3)
2011-12,NHL,Washington Capitals*,82,42,32,,8,92,0.561,-0.13,-0.03,2nd,"B. Boudreau (12-9-1), D. Hunter (30-23-7)"
2010-11,NHL,Washington Capitals*,82,48,23,,11,107,0.652,0.27,-0.06,1st,B. Boudreau (48-23-11)
2009-10,NHL,Washington Capitals*,82,54,15,,13,121,0.738,0.9,-0.14,1st,B. Boudreau (54-15-13)
2008-09,NHL,Washington Capitals*,82,50,24,,8,108,0.659,0.27,-0.06,1st,B. Boudreau (50-24-8)
2007-08,NHL,Washington Capitals*,82,43,31,,8,94,0.573,-0.06,-0.19,1st,"G. Hanlon (6-14-1), B. Boudreau (37-17-7)"
2006-07,NHL,Washington Capitals,82,28,40,,14,70,0.427,-0.73,-0.1,5th,G. Hanlon (28-40-14)
2005-06,NHL,Washington Capitals,82,29,41,,12,70,0.427,-0.86,-0.02,5th,G. Hanlon (29-41-12)
2003-04,NHL,Washington Capitals,82,23,46,10,3,59,0.36,-0.8,0.02,5th,"B. Cassidy (8-18-1-1), G. Hanlon (15-27-9-3)"
2002-03,NHL,Washington Capitals*,82,39,29,8,6,92,0.561,-0.06,-0.11,2nd,B. Cassidy (39-29-8-6)
2001-02,NHL,Washington Capitals,82,36,33,11,2,85,0.518,-0.25,-0.1,2nd,R. Wilson (36-33-11-2)
2000-01,NHL,Washington Capitals*,82,41,27,10,4,96,0.585,0.16,-0.1,1st,R. Wilson (41-27-10-4)
