Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Anaheim Ducks*,82,44,25,,13,101,0.616,0.24,0.01,2nd,R. Carlyle (44-25-13)
2016-17,NHL,Anaheim Ducks*,82,46,23,,13,105,0.64,0.24,-0.04,1st,R. Carlyle (46-23-13)
2015-16,NHL,Anaheim Ducks*,82,46,25,,11,103,0.628,0.27,-0.05,1st,B. Boudreau (46-25-11)
2014-15,NHL,Anaheim Ducks*,82,51,24,,7,109,0.665,0.1,-0.03,1st,B. Boudreau (51-24-7)
2013-14,NHL,Anaheim Ducks*,82,54,20,,8,116,0.707,0.68,-0.01,1st,B. Boudreau (54-20-8)
2012-13,NHL,Anaheim Ducks*,48,30,12,,6,66,0.688,0.43,-0.02,1st,B. Boudreau (30-12-6)
2011-12,NHL,Anaheim Ducks,82,34,36,,12,80,0.488,-0.29,0.04,5th,"R. Carlyle (7-13-4), B. Boudreau (27-23-8)"
2010-11,NHL,Anaheim Ducks*,82,47,30,,5,99,0.604,0.09,0.05,2nd,R. Carlyle (47-30-5)
2009-10,NHL,Anaheim Ducks,82,39,32,,11,89,0.543,-0.07,0.09,4th,R. Carlyle (39-32-11)
2008-09,NHL,Anaheim Ducks*,82,42,33,,7,91,0.555,0.09,0,2nd,R. Carlyle (42-33-7)
2007-08,NHL,Anaheim Ducks*,82,47,27,,8,102,0.622,0.3,0.13,2nd,R. Carlyle (47-27-8)
2006-07,NHL,Anaheim Ducks*,82,48,20,,14,110,0.671,0.67,0.06,1st,R. Carlyle (48-20-14)
2005-06,NHL,Mighty Ducks of Anaheim*,82,43,27,,12,98,0.598,0.37,0.06,3rd,R. Carlyle (43-27-12)
2003-04,NHL,Mighty Ducks of Anaheim,82,29,35,10,8,76,0.463,-0.34,0.01,4th,M. Babcock (29-35-10-8)
2002-03,NHL,Mighty Ducks of Anaheim*,82,40,27,9,6,95,0.579,0.19,0.07,2nd,M. Babcock (40-27-9-6)
2001-02,NHL,Mighty Ducks of Anaheim,82,29,42,8,3,69,0.421,-0.2,0.08,5th,B. Murray (29-42-8-3)
2000-01,NHL,Mighty Ducks of Anaheim,82,25,41,11,5,66,0.402,-0.6,0.1,5th,"C. Hartsburg (11-15-4-3), G. Charron (14-26-7-2)"
