Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Calgary Flames,82,37,35,,10,84,0.512,-0.33,0.03,5th,G. Gulutzan (37-35-10)
2016-17,NHL,Calgary Flames*,82,45,33,,4,94,0.573,0.02,-0.04,4th,G. Gulutzan (45-33-4)
2015-16,NHL,Calgary Flames,82,35,40,,7,77,0.47,-0.36,-0.01,5th,B. Hartley (35-40-7)
2014-15,NHL,Calgary Flames*,82,45,30,,7,97,0.591,0.26,-0.05,3rd,B. Hartley (45-30-7)
2013-14,NHL,Calgary Flames,82,35,40,,7,77,0.47,-0.35,0.04,6th,B. Hartley (35-40-7)
2012-13,NHL,Calgary Flames,48,19,25,,4,42,0.438,-0.65,0.02,4th,B. Hartley (19-25-4)
2011-12,NHL,Calgary Flames,82,37,29,,16,90,0.549,-0.28,0.01,2nd,B. Sutter (37-29-16)
2010-11,NHL,Calgary Flames,82,41,29,,12,94,0.573,0.14,-0.02,2nd,B. Sutter (41-29-12)
2009-10,NHL,Calgary Flames,82,40,32,,10,90,0.549,-0.03,0.04,3rd,B. Sutter (40-32-10)
2008-09,NHL,Calgary Flames*,82,46,30,,6,98,0.598,0.07,0,2nd,M. Keenan (46-30-6)
2007-08,NHL,Calgary Flames*,82,42,30,,10,94,0.573,0.13,0.1,3rd,M. Keenan (42-30-10)
2006-07,NHL,Calgary Flames*,82,43,29,,10,96,0.585,0.51,0.12,3rd,J. Playfair (43-29-10)
2005-06,NHL,Calgary Flames*,82,46,25,,11,103,0.628,0.3,0.08,1st,D. Sutter (46-25-11)
2003-04,NHL,Calgary Flames*,82,42,30,7,3,94,0.573,0.33,0.04,3rd,D. Sutter (42-30-7-3)
2002-03,NHL,Calgary Flames,82,29,36,13,4,75,0.457,-0.37,0.14,5th,"G. Gilbert (6-13-3-3), A. MacNeil (4-5-2-0), D. Sutter (19-18-8-1)"
2001-02,NHL,Calgary Flames,82,32,35,12,3,79,0.482,-0.15,0.08,4th,G. Gilbert (32-35-12-3)
2000-01,NHL,Calgary Flames,82,27,36,15,4,73,0.445,-0.37,0.11,4th,"D. Hay (23-28-13-4), G. Gilbert (4-8-2-0)"
