Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Chicago Blackhawks,82,33,39,,10,76,0.463,-0.26,0.07,7th,J. Quenneville (33-39-10)
2016-17,NHL,Chicago Blackhawks*,82,50,23,,9,109,0.665,0.32,-0.06,1st,J. Quenneville (50-23-9)
2015-16,NHL,Chicago Blackhawks*,82,47,26,,9,103,0.628,0.32,0,3rd,J. Quenneville (47-26-9)
2014-15,NHL,Chicago Blackhawks*,82,48,28,,6,102,0.622,0.51,0.02,3rd,J. Quenneville (48-28-6)
2013-14,NHL,Chicago Blackhawks*,82,46,21,,15,107,0.652,0.6,0.02,3rd,J. Quenneville (46-21-15)
2012-13,NHL,Chicago Blackhawks*,48,36,7,,5,77,0.802,1.04,-0.07,1st,J. Quenneville (36-7-5)
2011-12,NHL,Chicago Blackhawks*,82,45,26,,11,101,0.616,0.14,0.02,4th,J. Quenneville (45-26-11)
2010-11,NHL,Chicago Blackhawks*,82,44,29,,9,97,0.591,0.41,0.01,3rd,J. Quenneville (44-29-9)
2009-10,NHL,Chicago Blackhawks*,82,52,22,,8,112,0.683,0.77,0.02,1st,J. Quenneville (52-22-8)
2008-09,NHL,Chicago Blackhawks*,82,46,24,,12,104,0.634,0.6,0.01,2nd,"D. Savard (1-2-1), J. Quenneville (45-22-11)"
2007-08,NHL,Chicago Blackhawks,82,40,34,,8,88,0.537,0.16,0.12,3rd,D. Savard (40-34-8)
2006-07,NHL,Chicago Blackhawks,82,31,42,,9,71,0.433,-0.52,0.17,5th,"T. Yawney (7-12-2), D. Savard (24-30-7)"
2005-06,NHL,Chicago Blackhawks,82,26,43,,13,65,0.396,-0.86,0.04,4th,T. Yawney (26-43-13)
2003-04,NHL,Chicago Blackhawks,82,20,43,11,8,59,0.36,-0.84,0.02,5th,B. Sutter (20-43-11-8)
2002-03,NHL,Chicago Blackhawks,82,30,33,13,6,79,0.482,-0.14,0.09,3rd,B. Sutter (30-33-13-6)
2001-02,NHL,Chicago Blackhawks*,82,41,27,13,1,96,0.585,0.19,0.08,3rd,B. Sutter (41-27-13-1)
2000-01,NHL,Chicago Blackhawks,82,29,40,8,5,71,0.433,-0.36,0.08,4th,A. Suhonen (29-40-8-5)
