Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Columbus Blue Jackets*,82,45,30,,7,97,0.591,0.11,-0.04,4th,J. Tortorella (45-30-7)
2016-17,NHL,Columbus Blue Jackets*,82,50,24,,8,108,0.659,0.68,0.02,3rd,J. Tortorella (50-24-8)
2015-16,NHL,Columbus Blue Jackets,82,34,40,,8,76,0.463,-0.38,0.03,8th,"T. Richards (0-7-0), J. Tortorella (34-33-8)"
2014-15,NHL,Columbus Blue Jackets,82,42,35,,5,89,0.543,-0.16,0.01,5th,T. Richards (42-35-5)
2013-14,NHL,Columbus Blue Jackets*,82,43,32,,7,93,0.567,0.16,-0.03,4th,T. Richards (43-32-7)
2012-13,NHL,Columbus Blue Jackets,48,24,17,,7,55,0.573,0.03,0.01,4th,T. Richards (24-17-7)
2011-12,NHL,Columbus Blue Jackets,82,29,46,,7,65,0.396,-0.65,0.08,5th,"S. Arniel (11-25-5), T. Richards (18-21-2)"
2010-11,NHL,Columbus Blue Jackets,82,34,35,,13,81,0.494,-0.45,0.08,5th,S. Arniel (34-35-13)
2009-10,NHL,Columbus Blue Jackets,82,32,35,,15,79,0.482,-0.42,0.11,5th,"K. Hitchcock (22-27-9), C. Noel (10-8-6)"
2008-09,NHL,Columbus Blue Jackets*,82,41,31,,10,92,0.561,-0.01,0.04,4th,K. Hitchcock (41-31-10)
2007-08,NHL,Columbus Blue Jackets,82,34,36,,12,80,0.488,-0.16,0.15,4th,K. Hitchcock (34-36-12)
2006-07,NHL,Columbus Blue Jackets,82,33,42,,7,73,0.445,-0.42,0.16,4th,"G. Gallant (5-9-1), G. Agnew (0-4-1), K. Hitchcock (28-29-5)"
2005-06,NHL,Columbus Blue Jackets,82,35,43,,4,74,0.451,-0.66,0.02,3rd,G. Gallant (35-43-4)
2003-04,NHL,Columbus Blue Jackets,82,25,45,8,4,62,0.378,-0.72,0.03,4th,"D. MacLean (9-21-4-3), G. Gallant (16-24-4-1)"
2002-03,NHL,Columbus Blue Jackets,82,29,42,8,3,69,0.421,-0.51,0.11,5th,"D. King (14-20-4-2), D. MacLean (15-22-4-1)"
2001-02,NHL,Columbus Blue Jackets,82,22,47,8,5,57,0.348,-0.97,0.14,5th,D. King (22-47-8-5)
2000-01,NHL,Columbus Blue Jackets,82,28,39,9,6,71,0.433,-0.44,0.08,5th,D. King (28-39-9-6)
