Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Detroit Red Wings,82,30,39,,13,73,0.445,-0.48,-0.01,5th,J. Blashill (30-39-13)
2016-17,NHL,Detroit Red Wings,82,33,36,,13,79,0.482,-0.41,0.04,7th,J. Blashill (33-36-13)
2015-16,NHL,Detroit Red Wings*,82,41,30,,11,93,0.567,-0.16,0,3rd,J. Blashill (41-30-11)
2014-15,NHL,Detroit Red Wings*,82,43,25,,14,100,0.61,0.14,-0.03,3rd,M. Babcock (43-25-14)
2013-14,NHL,Detroit Red Wings*,82,39,28,,15,93,0.567,-0.14,-0.04,4th,M. Babcock (39-28-15)
2012-13,NHL,Detroit Red Wings*,48,24,16,,8,56,0.583,0.2,0.01,3rd,M. Babcock (24-16-8)
2011-12,NHL,Detroit Red Wings*,82,48,28,,6,102,0.622,0.55,0,3rd,M. Babcock (48-28-6)
2010-11,NHL,Detroit Red Wings*,82,47,25,,10,104,0.634,0.27,0.03,1st,M. Babcock (47-25-10)
2009-10,NHL,Detroit Red Wings*,82,44,24,,14,102,0.622,0.23,0.07,2nd,M. Babcock (44-24-14)
2008-09,NHL,Detroit Red Wings*,82,51,21,,10,112,0.683,0.62,0,1st,M. Babcock (51-21-10)
2007-08,NHL,Detroit Red Wings*,82,54,21,,7,115,0.701,0.93,0.04,1st,M. Babcock (54-21-7)
2006-07,NHL,Detroit Red Wings*,82,50,19,,13,113,0.689,0.72,0.05,1st,M. Babcock (50-19-13)
2005-06,NHL,Detroit Red Wings*,82,58,16,,8,124,0.756,1.03,-0.14,1st,M. Babcock (58-16-8)
2003-04,NHL,Detroit Red Wings*,82,48,21,11,2,109,0.665,0.72,-0.09,1st,D. Lewis (48-21-11-2)
2002-03,NHL,Detroit Red Wings*,82,48,20,10,4,110,0.671,0.85,0.05,1st,D. Lewis (48-20-10-4)
2001-02,NHL,Detroit Red Wings*,82,51,17,10,4,116,0.707,0.83,0.05,1st,S. Bowman (51-17-10-4)
2000-01,NHL,Detroit Red Wings*,82,49,20,9,4,111,0.677,0.63,0.01,1st,S. Bowman (49-20-9-4)
