Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Edmonton Oilers,82,36,40,,6,78,0.476,-0.32,0.03,6th,T. McLellan (36-40-6)
2016-17,NHL,Edmonton Oilers*,82,47,26,,9,103,0.628,0.37,-0.06,2nd,T. McLellan (47-26-9)
2015-16,NHL,Edmonton Oilers,82,31,43,,8,70,0.427,-0.51,0,7th,T. McLellan (31-43-8)
2014-15,NHL,Edmonton Oilers,82,24,44,,14,62,0.378,-1.01,0.03,6th,"D. Eakins (7-19-5), T. Nelson (17-25-9)"
2013-14,NHL,Edmonton Oilers,82,29,44,,9,67,0.409,-0.75,0.07,7th,D. Eakins (29-44-9)
2012-13,NHL,Edmonton Oilers,48,19,22,,7,45,0.469,-0.22,-0.03,3rd,R. Krueger (19-22-7)
2011-12,NHL,Edmonton Oilers,82,32,40,,10,74,0.451,-0.32,0.01,5th,T. Renney (32-40-10)
2010-11,NHL,Edmonton Oilers,82,25,45,,12,62,0.378,-0.87,0.06,5th,T. Renney (25-45-12)
2009-10,NHL,Edmonton Oilers,82,27,47,,8,62,0.378,-0.76,0.09,5th,P. Quinn (27-47-8)
2008-09,NHL,Edmonton Oilers,82,38,35,,9,85,0.518,-0.16,0.01,4th,C. MacTavish (38-35-9)
2007-08,NHL,Edmonton Oilers,82,41,35,,6,88,0.537,-0.07,0.12,4th,C. MacTavish (41-35-6)
2006-07,NHL,Edmonton Oilers,82,32,43,,7,71,0.433,-0.43,0.22,5th,C. MacTavish (32-43-7)
2005-06,NHL,Edmonton Oilers*,82,41,28,,13,95,0.579,0.15,0.09,3rd,C. MacTavish (41-28-13)
2003-04,NHL,Edmonton Oilers,82,36,29,12,5,89,0.543,0.21,0.05,4th,C. MacTavish (36-29-12-5)
2002-03,NHL,Edmonton Oilers*,82,36,26,11,9,92,0.561,0.12,0.11,4th,C. MacTavish (36-26-11-9)
2001-02,NHL,Edmonton Oilers,82,38,28,12,4,92,0.561,0.34,0.06,3rd,C. MacTavish (38-28-12-4)
2000-01,NHL,Edmonton Oilers*,82,39,28,12,3,93,0.567,0.32,0.07,2nd,C. MacTavish (39-28-12-3)
