Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Florida Panthers,82,44,30,,8,96,0.585,-0.01,-0.04,4th,B. Boughner (43-30-8)
2016-17,NHL,Florida Panthers,82,35,36,,11,81,0.494,-0.3,0.03,6th,"G. Gallant (11-9-1), T. Rowe (24-27-10)"
2015-16,NHL,Florida Panthers*,82,47,26,,9,103,0.628,0.42,-0.02,1st,G. Gallant (47-26-9)
2014-15,NHL,Florida Panthers,82,38,29,,15,91,0.555,-0.23,-0.02,6th,G. Gallant (38-29-15)
2013-14,NHL,Florida Panthers,82,29,45,,8,66,0.402,-0.87,0.01,7th,"K. Dineen (3-9-4), P. Horachek (26-36-4)"
2012-13,NHL,Florida Panthers,48,15,27,,6,36,0.375,-1.18,0.05,5th,K. Dineen (15-27-6)
2011-12,NHL,Florida Panthers*,82,38,26,,18,94,0.573,-0.33,-0.03,1st,K. Dineen (38-26-18)
2010-11,NHL,Florida Panthers,82,30,40,,12,72,0.439,-0.43,-0.01,5th,P. DeBoer (30-40-12)
2009-10,NHL,Florida Panthers,82,32,37,,13,77,0.47,-0.47,-0.03,5th,P. DeBoer (32-37-13)
2008-09,NHL,Florida Panthers,82,41,30,,11,93,0.567,0,-0.04,3rd,P. DeBoer (41-30-11)
2007-08,NHL,Florida Panthers,82,38,35,,9,85,0.518,-0.29,-0.17,3rd,J. Martin (38-35-9)
2006-07,NHL,Florida Panthers,82,35,31,,16,86,0.524,-0.27,-0.15,4th,J. Martin (35-31-16)
2005-06,NHL,Florida Panthers,82,37,34,,11,85,0.518,-0.28,-0.07,4th,J. Martin (37-34-11)
2003-04,NHL,Florida Panthers,82,28,35,15,4,75,0.457,-0.42,-0.02,4th,"M. Keenan (5-8-2-0), R. Dudley (13-15-9-3), J. Torchetti (10-12-4-1)"
2002-03,NHL,Florida Panthers,82,24,36,13,9,70,0.427,-0.78,-0.03,4th,M. Keenan (24-36-13-9)
2001-02,NHL,Florida Panthers,82,22,44,10,6,60,0.366,-0.92,-0.07,4th,"D. Sutter (6-15-2-3), M. Keenan (16-29-8-3)"
2000-01,NHL,Florida Panthers,82,22,38,13,9,66,0.402,-0.6,-0.04,3rd,"T. Murray (6-18-7-5), D. Sutter (16-20-6-4)"
