Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Los Angeles Kings*,82,45,29,,8,98,0.598,0.44,0,4th,J. Stevens (45-29-8)
2016-17,NHL,Los Angeles Kings,82,39,35,,8,86,0.524,-0.07,-0.02,5th,D. Sutter (39-35-8)
2015-16,NHL,Los Angeles Kings*,82,48,28,,6,102,0.622,0.32,-0.04,2nd,D. Sutter (48-28-6)
2014-15,NHL,Los Angeles Kings,82,40,27,,15,95,0.579,0.16,-0.03,4th,D. Sutter (40-27-15)
2013-14,NHL,Los Angeles Kings*,82,46,28,,8,100,0.61,0.4,0.01,3rd,D. Sutter (46-28-8)
2012-13,NHL,Los Angeles Kings*,48,27,16,,5,59,0.615,0.29,-0.02,2nd,D. Sutter (27-16-5)
2011-12,NHL,Los Angeles Kings*,82,40,27,,15,95,0.579,0.19,0.01,3rd,"T. Murray (13-12-4), J. Stevens (2-2-0), D. Sutter (25-13-11)"
2010-11,NHL,Los Angeles Kings*,82,46,30,,6,98,0.598,0.29,0.03,4th,T. Murray (46-30-6)
2009-10,NHL,Los Angeles Kings*,82,46,27,,9,101,0.616,0.32,0.05,3rd,T. Murray (46-27-9)
2008-09,NHL,Los Angeles Kings,82,34,37,,11,79,0.482,-0.29,0.04,5th,T. Murray (34-37-11)
2007-08,NHL,Los Angeles Kings,82,32,43,,7,71,0.433,-0.24,0.19,5th,M. Crawford (32-43-7)
2006-07,NHL,Los Angeles Kings,82,27,41,,14,68,0.415,-0.51,0.18,4th,M. Crawford (27-41-14)
2005-06,NHL,Los Angeles Kings,82,42,35,,5,89,0.543,-0.15,0.11,4th,"A. Murray (37-28-5), J. Torchetti (5-7-0)"
2003-04,NHL,Los Angeles Kings,82,28,29,16,9,81,0.494,-0.15,0,3rd,A. Murray (28-29-16-9)
2002-03,NHL,Los Angeles Kings,82,33,37,6,6,78,0.476,-0.13,0.09,3rd,A. Murray (33-37-6-6)
2001-02,NHL,Los Angeles Kings*,82,40,27,11,4,95,0.579,0.35,0.05,3rd,A. Murray (40-27-11-4)
2000-01,NHL,Los Angeles Kings*,82,38,28,13,3,92,0.561,0.32,0.03,3rd,A. Murray (38-28-13-3)
