Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Minnesota Wild*,82,45,26,,11,101,0.616,0.29,0.04,3rd,B. Boudreau (45-26-11)
2016-17,NHL,Minnesota Wild*,82,49,25,,8,106,0.646,0.63,-0.08,2nd,B. Boudreau (49-25-8)
2015-16,NHL,Minnesota Wild*,82,38,33,,11,87,0.53,0.13,0.01,5th,"M. Yeo (23-22-10), J. Torchetti (15-11-1)"
2014-15,NHL,Minnesota Wild*,82,46,28,,8,100,0.61,0.39,0.03,4th,M. Yeo (46-28-8)
2013-14,NHL,Minnesota Wild*,82,43,27,,12,98,0.598,0.07,0.05,4th,M. Yeo (43-27-12)
2012-13,NHL,Minnesota Wild*,48,26,19,,3,55,0.573,-0.16,-0.05,2nd,M. Yeo (26-19-3)
2011-12,NHL,Minnesota Wild,82,35,36,,11,81,0.494,-0.58,0.02,4th,M. Yeo (35-36-11)
2010-11,NHL,Minnesota Wild,82,39,35,,8,86,0.524,-0.3,0.03,3rd,T. Richards (39-35-8)
2009-10,NHL,Minnesota Wild,82,38,36,,8,84,0.512,-0.26,0.07,4th,T. Richards (38-36-8)
2008-09,NHL,Minnesota Wild,82,40,33,,9,89,0.543,0.22,-0.02,3rd,J. Lemaire (40-33-9)
2007-08,NHL,Minnesota Wild*,82,44,28,,10,98,0.598,0.16,0.1,1st,J. Lemaire (44-28-10)
2006-07,NHL,Minnesota Wild*,82,48,26,,8,104,0.634,0.65,0.11,2nd,J. Lemaire (48-26-8)
2005-06,NHL,Minnesota Wild,82,38,36,,8,84,0.512,0.28,0.08,5th,J. Lemaire (38-36-8)
2003-04,NHL,Minnesota Wild,82,30,29,20,3,83,0.506,0.08,0.02,5th,J. Lemaire (30-29-20-3)
2002-03,NHL,Minnesota Wild*,82,42,29,10,1,95,0.579,0.32,0.08,3rd,J. Lemaire (42-29-10-1)
2001-02,NHL,Minnesota Wild,82,26,35,12,9,73,0.445,-0.41,0.11,5th,J. Lemaire (26-35-12-9)
2000-01,NHL,Minnesota Wild,82,25,39,13,5,68,0.415,-0.42,0.09,5th,J. Lemaire (25-39-13-5)
