Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Montreal Canadiens,82,29,40,,13,71,0.433,-0.68,0,6th,C. Julien (29-40-13)
2016-17,NHL,Montreal Canadiens*,82,47,26,,9,103,0.628,0.31,-0.01,1st,"M. Therrien (31-19-8), C. Julien (16-7-1)"
2015-16,NHL,Montreal Canadiens,82,38,38,,6,82,0.5,-0.18,0,6th,M. Therrien (38-38-6)
2014-15,NHL,Montreal Canadiens*,82,50,22,,10,110,0.671,0.36,-0.03,1st,M. Therrien (50-22-10)
2013-14,NHL,Montreal Canadiens*,82,46,28,,8,100,0.61,0.08,-0.05,3rd,M. Therrien (46-28-8)
2012-13,NHL,Montreal Canadiens*,48,29,14,,5,63,0.656,0.46,-0.02,1st,M. Therrien (29-14-5)
2011-12,NHL,Montreal Canadiens,82,31,35,,16,78,0.476,-0.17,0,5th,"J. Martin (13-12-7), R. Cunneyworth (18-23-9)"
2010-11,NHL,Montreal Canadiens*,82,44,30,,8,96,0.585,0.05,-0.04,2nd,J. Martin (44-30-8)
2009-10,NHL,Montreal Canadiens*,82,39,33,,10,88,0.537,-0.14,-0.07,4th,J. Martin (39-33-10)
2008-09,NHL,Montreal Canadiens*,82,41,30,,11,93,0.567,0.02,-0.01,2nd,"G. Carbonneau (35-24-7), B. Gainey (6-6-4)"
2007-08,NHL,Montreal Canadiens*,82,47,25,,10,104,0.634,0.35,-0.14,1st,G. Carbonneau (47-25-10)
2006-07,NHL,Montreal Canadiens,82,42,34,,6,90,0.549,-0.21,-0.08,4th,G. Carbonneau (42-34-6)
2005-06,NHL,Montreal Canadiens*,82,42,31,,9,93,0.567,-0.01,0.04,3rd,"C. Julien (19-16-6), B. Gainey (23-15-3)"
2003-04,NHL,Montreal Canadiens*,82,41,30,7,4,93,0.567,0.23,0.04,4th,C. Julien (41-30-7-4)
2002-03,NHL,Montreal Canadiens,82,30,35,8,9,77,0.47,-0.39,-0.05,4th,"M. Therrien (18-19-5-4), C. Julien (12-16-3-5)"
2001-02,NHL,Montreal Canadiens*,82,36,31,12,3,87,0.53,-0.1,-0.08,4th,M. Therrien (36-31-12-3)
2000-01,NHL,Montreal Canadiens,82,28,40,8,6,70,0.427,-0.35,-0.03,5th,"A. Vigneault (5-13-2-0), M. Therrien (23-27-6-6)"
