Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,New Jersey Devils*,82,44,29,,9,97,0.591,0.02,-0.03,4th,J. Hynes (44-29-9)
2016-17,NHL,New Jersey Devils,82,28,40,,14,70,0.427,-0.67,0.08,8th,J. Hynes (28-40-14)
2015-16,NHL,New Jersey Devils,82,38,36,,8,84,0.512,-0.28,0.02,7th,J. Hynes (38-36-8)
2014-15,NHL,New Jersey Devils,82,32,36,,14,78,0.476,-0.4,0.02,7th,"P. DeBoer (12-17-7), N. Bench (20-19-7)"
2013-14,NHL,New Jersey Devils,82,35,29,,18,88,0.537,-0.15,-0.02,6th,P. DeBoer (35-29-18)
2012-13,NHL,New Jersey Devils,48,19,19,,10,48,0.5,-0.31,0.04,5th,P. DeBoer (19-19-10)
2011-12,NHL,New Jersey Devils*,82,48,28,,6,102,0.622,0.23,0,4th,P. DeBoer (48-28-6)
2010-11,NHL,New Jersey Devils,82,38,39,,5,81,0.494,-0.41,0.02,4th,"J. MacLean (9-22-2), J. Lemaire (29-17-3)"
2009-10,NHL,New Jersey Devils*,82,48,27,,7,103,0.628,0.31,-0.07,1st,J. Lemaire (48-27-7)
2008-09,NHL,New Jersey Devils*,82,51,27,,4,106,0.646,0.38,-0.05,1st,B. Sutter (51-27-4)
2007-08,NHL,New Jersey Devils*,82,46,29,,7,99,0.604,0,-0.11,2nd,B. Sutter (46-29-7)
2006-07,NHL,New Jersey Devils*,82,49,24,,9,107,0.652,0.03,-0.15,1st,"C. Julien (47-24-8), L. Lamoriello (2-0-1)"
2005-06,NHL,New Jersey Devils*,82,46,27,,9,101,0.616,0.05,-0.11,1st,"L. Robinson (14-13-5), L. Lamoriello (32-14-4)"
2003-04,NHL,New Jersey Devils*,82,43,25,12,2,100,0.61,0.54,-0.06,2nd,P. Burns (43-25-12-2)
2002-03,NHL,New Jersey Devils*,82,46,20,10,6,108,0.659,0.49,-0.12,1st,P. Burns (46-20-10-6)
2001-02,NHL,New Jersey Devils*,82,41,28,9,4,95,0.579,0.15,-0.07,3rd,"L. Robinson (21-20-7-3), K. Constantine (20-8-2-1)"
2000-01,NHL,New Jersey Devils*,82,48,19,12,3,111,0.677,1.1,-0.12,1st,L. Robinson (48-19-12-3)
