Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,New York Islanders,82,35,37,,10,80,0.488,-0.4,-0.01,7th,D. Weight (35-37-10)
2016-17,NHL,New York Islanders,82,41,29,,12,94,0.573,0.03,0.05,5th,"J. Capuano (17-17-8), D. Weight (24-12-4)"
2015-16,NHL,New York Islanders*,82,45,27,,10,100,0.61,0.19,0,4th,J. Capuano (45-27-10)
2014-15,NHL,New York Islanders*,82,47,28,,7,101,0.616,0.26,-0.01,2nd,J. Capuano (47-28-7)
2013-14,NHL,New York Islanders,82,34,37,,11,79,0.482,-0.51,0,8th,J. Capuano (34-37-11)
2012-13,NHL,New York Islanders*,48,24,17,,7,55,0.573,0.03,0.03,3rd,J. Capuano (24-17-7)
2011-12,NHL,New York Islanders,82,34,37,,11,79,0.482,-0.58,0.05,5th,J. Capuano (34-37-11)
2010-11,NHL,New York Islanders,82,30,39,,13,73,0.445,-0.42,0.01,5th,"S. Gordon (4-10-3), J. Capuano (26-29-10)"
2009-10,NHL,New York Islanders,82,34,37,,11,79,0.482,-0.53,-0.02,5th,S. Gordon (34-37-11)
2008-09,NHL,New York Islanders,82,26,47,,9,61,0.372,-0.91,0.05,5th,S. Gordon (26-47-9)
2007-08,NHL,New York Islanders,82,35,38,,9,79,0.482,-0.65,-0.05,5th,"T. Nolan (6-4-0), A. Arbour (1-0-0), T. Nolan (28-34-9)"
2006-07,NHL,New York Islanders*,82,40,30,,12,92,0.561,-0.04,-0.14,4th,T. Nolan (40-30-12)
2005-06,NHL,New York Islanders,82,36,40,,6,78,0.476,-0.62,-0.04,4th,"S. Stirling (18-22-2), B. Shaw (18-18-4)"
2003-04,NHL,New York Islanders*,82,38,29,11,4,91,0.555,0.29,-0.04,3rd,S. Stirling (38-29-11-4)
2002-03,NHL,New York Islanders*,82,35,34,11,2,83,0.506,-0.16,-0.07,3rd,P. Laviolette (35-34-11-2)
2001-02,NHL,New York Islanders*,82,42,28,8,4,96,0.585,0.15,-0.08,2nd,P. Laviolette (42-28-8-4)
2000-01,NHL,New York Islanders,82,21,51,7,3,52,0.317,-1.02,0,5th,"B. Goring (17-40-5-3), L. Henning (4-11-2-0)"
