Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Pittsburgh Penguins*,82,47,29,,6,100,0.61,0.23,-0.04,2nd,M. Sullivan (47-29-6)
2016-17,NHL,Pittsburgh Penguins*,82,50,21,,11,111,0.677,0.59,0.01,2nd,M. Sullivan (50-21-11)
2015-16,NHL,Pittsburgh Penguins*,82,48,26,,8,104,0.634,0.5,-0.01,2nd,"M. Johnston (15-10-3), M. Sullivan (33-16-5)"
2014-15,NHL,Pittsburgh Penguins*,82,43,27,,12,98,0.598,0.12,-0.01,4th,M. Johnston (43-27-12)
2013-14,NHL,Pittsburgh Penguins*,82,51,24,,7,109,0.665,0.47,-0.04,1st,D. Bylsma (51-24-7)
2012-13,NHL,Pittsburgh Penguins*,48,36,12,,0,72,0.75,0.91,-0.05,1st,D. Bylsma (36-12-0)
2011-12,NHL,Pittsburgh Penguins*,82,51,25,,6,108,0.659,0.71,-0.03,2nd,D. Bylsma (51-25-6)
2010-11,NHL,Pittsburgh Penguins*,82,49,25,,8,106,0.646,0.43,-0.05,1st,D. Bylsma (49-25-8)
2009-10,NHL,Pittsburgh Penguins*,82,47,28,,7,101,0.616,0.17,-0.07,2nd,D. Bylsma (47-28-7)
2008-09,NHL,Pittsburgh Penguins*,82,45,28,,9,99,0.604,0.28,-0.02,2nd,"M. Therrien (27-25-5), D. Bylsma (18-3-4)"
2007-08,NHL,Pittsburgh Penguins*,82,47,27,,8,102,0.622,0.24,-0.14,1st,M. Therrien (47-27-8)
2006-07,NHL,Pittsburgh Penguins*,82,47,24,,11,105,0.64,0.21,-0.17,2nd,M. Therrien (47-24-11)
2005-06,NHL,Pittsburgh Penguins,82,22,46,,14,58,0.354,-0.89,-0.01,5th,"E. Olczyk (8-17-6), M. Therrien (14-29-8)"
2003-04,NHL,Pittsburgh Penguins,82,23,47,8,4,58,0.354,-1.31,0.07,5th,E. Olczyk (23-47-8-4)
2002-03,NHL,Pittsburgh Penguins,82,27,44,6,5,65,0.396,-0.85,-0.04,5th,R. Kehoe (27-44-6-5)
2001-02,NHL,Pittsburgh Penguins,82,28,41,8,5,69,0.421,-0.66,-0.04,5th,"I. Hlinka (0-4-0-0), R. Kehoe (28-37-8-5)"
2000-01,NHL,Pittsburgh Penguins*,82,42,28,9,3,96,0.585,0.23,-0.07,3rd,I. Hlinka (42-28-9-3)
