Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,St. Louis Blues,82,44,32,,6,94,0.573,0.1,0.05,5th,M. Yeo (44-32-6)
2016-17,NHL,St. Louis Blues*,82,46,29,,7,99,0.604,0.17,-0.04,3rd,"K. Hitchcock (24-21-5), M. Yeo (22-8-2)"
2015-16,NHL,St. Louis Blues*,82,49,24,,9,107,0.652,0.28,0,2nd,K. Hitchcock (49-24-9)
2014-15,NHL,St. Louis Blues*,82,51,24,,7,109,0.665,0.59,0.02,1st,K. Hitchcock (51-24-7)
2013-14,NHL,St. Louis Blues*,82,52,23,,7,111,0.677,0.71,0.01,2nd,K. Hitchcock (52-23-7)
2012-13,NHL,St. Louis Blues*,48,29,17,,2,60,0.625,0.31,0.02,2nd,K. Hitchcock (29-17-2)
2011-12,NHL,St. Louis Blues*,82,49,22,,11,109,0.665,0.54,-0.01,1st,"D. Payne (6-7-0), K. Hitchcock (43-15-11)"
2010-11,NHL,St. Louis Blues,82,38,33,,11,87,0.53,0.11,0.04,4th,D. Payne (38-33-11)
2009-10,NHL,St. Louis Blues,82,40,32,,10,90,0.549,0.08,0.06,4th,"A. Murray (17-17-6), D. Payne (23-15-4)"
2008-09,NHL,St. Louis Blues*,82,41,31,,10,92,0.561,0.05,0.05,3rd,A. Murray (41-31-10)
2007-08,NHL,St. Louis Blues,82,33,36,,13,79,0.482,-0.24,0.16,5th,A. Murray (33-36-13)
2006-07,NHL,St. Louis Blues,82,34,35,,13,81,0.494,-0.33,0.15,3rd,"M. Kitchen (7-17-4), A. Murray (27-18-9)"
2005-06,NHL,St. Louis Blues,82,21,46,,15,57,0.348,-1.09,0.07,5th,M. Kitchen (21-46-15)
2003-04,NHL,St. Louis Blues*,82,39,30,11,2,91,0.555,-0.09,-0.01,2nd,"J. Quenneville (29-23-7-2), M. Kitchen (10-7-4-0)"
2002-03,NHL,St. Louis Blues*,82,41,24,11,6,99,0.604,0.43,0.05,2nd,J. Quenneville (41-24-11-6)
2001-02,NHL,St. Louis Blues*,82,43,27,8,4,98,0.598,0.54,0.07,2nd,J. Quenneville (43-27-8-4)
2000-01,NHL,St. Louis Blues*,82,43,22,12,5,103,0.628,0.67,0.01,2nd,J. Quenneville (43-22-12-5)
