Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Tampa Bay Lightning*,82,54,23,,5,113,0.689,0.66,-0.07,1st,J. Cooper (54-23-5)
2016-17,NHL,Tampa Bay Lightning,82,42,30,,10,94,0.573,0.09,0.01,5th,J. Cooper (42-30-10)
2015-16,NHL,Tampa Bay Lightning*,82,46,31,,5,97,0.591,0.3,-0.02,2nd,J. Cooper (46-31-5)
2014-15,NHL,Tampa Bay Lightning*,82,50,24,,8,108,0.659,0.57,-0.06,2nd,J. Cooper (50-24-8)
2013-14,NHL,Tampa Bay Lightning*,82,46,27,,9,101,0.616,0.25,-0.06,2nd,J. Cooper (46-27-9)
2012-13,NHL,Tampa Bay Lightning,48,18,26,,4,40,0.417,-0.11,-0.07,4th,"G. Boucher (13-18-1), J. Cooper (5-8-3)"
2011-12,NHL,Tampa Bay Lightning,82,38,36,,8,84,0.512,-0.57,-0.01,3rd,G. Boucher (38-36-8)
2010-11,NHL,Tampa Bay Lightning*,82,46,25,,11,103,0.628,0.04,-0.05,2nd,G. Boucher (46-25-11)
2009-10,NHL,Tampa Bay Lightning,82,34,36,,12,80,0.488,-0.56,-0.03,3rd,R. Tocchet (34-36-12)
2008-09,NHL,Tampa Bay Lightning,82,24,40,,18,66,0.402,-0.81,0.03,5th,"B. Melrose (5-7-4), R. Tocchet (19-33-14)"
2007-08,NHL,Tampa Bay Lightning,82,31,42,,9,71,0.433,-0.67,-0.13,5th,J. Tortorella (31-42-9)
2006-07,NHL,Tampa Bay Lightning*,82,44,33,,5,93,0.567,-0.25,-0.15,2nd,J. Tortorella (44-33-5)
2005-06,NHL,Tampa Bay Lightning*,82,43,33,,6,92,0.561,-0.18,-0.08,2nd,J. Tortorella (43-33-6)
2003-04,NHL,Tampa Bay Lightning*,82,46,22,8,6,106,0.646,0.56,-0.09,1st,J. Tortorella (46-22-8-6)
2002-03,NHL,Tampa Bay Lightning*,82,36,25,16,5,93,0.567,-0.01,-0.12,1st,J. Tortorella (36-25-16-5)
2001-02,NHL,Tampa Bay Lightning,82,27,40,11,4,69,0.421,-0.58,-0.08,3rd,J. Tortorella (27-40-11-4)
2000-01,NHL,Tampa Bay Lightning,82,24,47,6,5,59,0.36,-0.98,-0.01,5th,"S. Ludzik (12-20-5-2), J. Tortorella (12-27-1-3)"
