Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Vancouver Canucks,82,31,40,,11,73,0.445,-0.51,0.05,7th,T. Green (31-40-11)
2016-17,NHL,Vancouver Canucks,82,30,43,,9,69,0.421,-0.73,0.01,7th,W. Desjardins (30-43-9)
2015-16,NHL,Vancouver Canucks,82,31,38,,13,75,0.457,-0.62,0.02,6th,W. Desjardins (31-38-13)
2014-15,NHL,Vancouver Canucks*,82,48,29,,5,101,0.616,0.2,-0.05,2nd,W. Desjardins (48-29-5)
2013-14,NHL,Vancouver Canucks,82,36,35,,11,83,0.506,-0.3,0.03,5th,J. Tortorella (36-35-11)
2012-13,NHL,Vancouver Canucks*,48,26,15,,7,59,0.615,0.07,-0.06,1st,A. Vigneault (26-15-7)
2011-12,NHL,Vancouver Canucks*,82,51,22,,9,111,0.677,0.57,-0.05,1st,A. Vigneault (51-22-9)
2010-11,NHL,Vancouver Canucks*,82,54,19,,9,117,0.713,0.87,-0.07,1st,A. Vigneault (54-19-9)
2009-10,NHL,Vancouver Canucks*,82,49,28,,5,103,0.628,0.6,-0.01,1st,A. Vigneault (49-28-5)
2008-09,NHL,Vancouver Canucks*,82,45,27,,10,100,0.61,0.3,-0.02,1st,A. Vigneault (45-27-10)
2007-08,NHL,Vancouver Canucks,82,39,33,,10,88,0.537,0.08,0.11,5th,A. Vigneault (39-33-10)
2006-07,NHL,Vancouver Canucks*,82,49,26,,7,105,0.64,0.39,0.13,1st,A. Vigneault (49-26-7)
2005-06,NHL,Vancouver Canucks,82,42,32,,8,92,0.561,0.11,0.1,4th,M. Crawford (42-32-8)
2003-04,NHL,Vancouver Canucks*,82,43,24,10,5,101,0.616,0.52,0.02,1st,M. Crawford (43-24-10-5)
2002-03,NHL,Vancouver Canucks*,82,45,23,13,1,104,0.634,0.74,0.05,2nd,M. Crawford (45-23-13-1)
2001-02,NHL,Vancouver Canucks*,82,42,30,7,3,94,0.573,0.59,0.07,2nd,M. Crawford (42-30-7-3)
2000-01,NHL,Vancouver Canucks*,82,36,28,11,7,90,0.549,0.08,0.07,3rd,M. Crawford (36-28-11-7)
