Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Winnipeg Jets*,82,52,20,,10,114,0.695,0.74,0.02,2nd,P. Maurice (52-20-10)
2016-17,NHL,Winnipeg Jets,82,40,35,,7,87,0.53,-0.11,-0.03,5th,P. Maurice (40-35-7)
2015-16,NHL,Winnipeg Jets,82,35,39,,8,78,0.476,-0.26,0.03,7th,P. Maurice (35-39-8)
2014-15,NHL,Winnipeg Jets*,82,43,26,,13,99,0.604,0.29,0.04,5th,P. Maurice (43-26-13)
2013-14,NHL,Winnipeg Jets,82,37,35,,10,84,0.512,-0.07,0.06,7th,"C. Noel (19-23-5), P. Maurice (18-12-5)"
2012-13,NHL,Winnipeg Jets,48,24,21,,3,51,0.531,-0.36,-0.03,2nd,C. Noel (24-21-3)
2011-12,NHL,Winnipeg Jets,82,37,35,,10,84,0.512,-0.3,-0.04,3rd,C. Noel (37-35-10)
2010-11,NHL,Atlanta Thrashers,82,34,36,,12,80,0.488,-0.57,-0.01,4th,C. Ramsay (34-36-12)
2009-10,NHL,Atlanta Thrashers,82,35,34,,13,83,0.506,-0.33,-0.06,2nd,J. Anderson (35-34-13)
2008-09,NHL,Atlanta Thrashers,82,35,41,,6,76,0.463,-0.3,-0.02,4th,J. Anderson (35-41-6)
2007-08,NHL,Atlanta Thrashers,82,34,40,,8,76,0.463,-0.8,-0.12,4th,"B. Hartley (0-6-0), D. Waddell (34-34-8)"
2006-07,NHL,Atlanta Thrashers*,82,43,28,,11,97,0.591,-0.15,-0.16,1st,B. Hartley (43-28-11)
2005-06,NHL,Atlanta Thrashers,82,41,33,,8,90,0.549,-0.03,-0.1,3rd,B. Hartley (41-33-8)
2003-04,NHL,Atlanta Thrashers,82,33,37,8,4,78,0.476,-0.38,-0.03,2nd,B. Hartley (33-37-8-4)
2002-03,NHL,Atlanta Thrashers,82,31,39,7,5,74,0.451,-0.78,-0.07,3rd,"C. Fraser (8-20-1-4), D. Waddell (4-5-1-0), B. Hartley (19-14-5-1)"
2001-02,NHL,Atlanta Thrashers,82,19,47,11,5,54,0.329,-1.27,-0.04,5th,C. Fraser (19-47-11-5)
2000-01,NHL,Atlanta Thrashers,82,23,45,12,2,60,0.366,-0.99,-0.04,4th,C. Fraser (23-45-12-2)
